_id,name,property_type,room_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,extra_people,guests_included,review_scores,amenities,images,host_name,host_identity_verified,market,country,longitude,latitude,availability_30,availability_60,availability_90,availability_365,price_usd
10006546,Ribeira Charming Duplex,House,Entire home/apt,2,30,moderate,8,3,5,51,1,80,35,15,6,89,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Pets allowed', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Cleaning before checkout', 'Waterfront']",https://a0.muscache.com/im/pictures/e83e702f-ef49-40fb-8fa0-6512d7e26e9b.jpg?aki_policy=large,Ana&Gonçalo,Yes,Porto,Portugal,-8.61308,41.1413,28,47,74,239,94.39999999999999
10009999,Horto flat with small garden,Apartment,Entire home/apt,2,1125,flexible,4,1,2,0,1,317,187,0,1,0,"['Wifi', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Hot tub', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'First aid kit', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",https://a0.muscache.com/im/pictures/5b408b9e-45da-4808-be65-4edc1f29c453.jpg?aki_policy=large,Ynaie,No,Rio De Janeiro,Brazil,-43.23074991429229,-22.966253551739655,0,0,0,0,60.230000000000004
1001265,Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,3,365,strict_14_with_grace_period,2,1,1,96,1,115,100,0,1,84,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Elevator', 'Hot tub', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'BBQ grill', 'Garden or backyard', 'Well-lit path to entrance', 'Disabled parking spot', 'Step-free access', 'Wide clearance to bed', 'Step-free access']",https://a0.muscache.com/im/pictures/15037101/5aff14a7_original.jpg?aki_policy=large,David,No,Oahu,United States,-157.83919,21.28634,16,46,76,343,115.0
10021707,Private Room in Bushwick,Apartment,Private room,14,1125,flexible,1,1,1,1,1,40,Not Specified,0,1,100,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Lock on bedroom door']",https://a0.muscache.com/im/pictures/72844c8c-fec2-440e-a752-bba9b268c361.jpg?aki_policy=large,Josh,Yes,New York,United States,-73.93615,40.69791,0,0,0,0,40.0
10030955,Apt Linda Vista Lagoa - Rio,Apartment,Private room,1,1125,flexible,2,1,1,0,2,701,250,0,1,0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Doorman', 'Gym', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Essentials', '24-hour check-in']",https://a0.muscache.com/im/pictures/59c516bd-c7c3-4dae-8625-aff5f55ece53.jpg?aki_policy=large,Livia,No,Rio De Janeiro,Brazil,-43.205047082633435,-22.971950988341874,28,58,88,363,133.19
1003530,New York City - Upper West Side Apt,Apartment,Private room,12,360,strict_14_with_grace_period,2,1,1,70,1,135,135,0,1,94,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'translation missing: en.hosting_amenity_50']",https://a0.muscache.com/im/pictures/15074036/a97119ed_original.jpg?aki_policy=large,Greta,Yes,New York,United States,-73.96523,40.79962,0,0,0,93,135.0
10038496,Copacabana Apartment Posto 6,Apartment,Entire home/apt,3,75,strict_14_with_grace_period,4,1,3,70,2,119,150,40,3,98,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Oven', 'Stove', 'Long term stays allowed', 'Wide hallway clearance', 'Host greets you']",https://a0.muscache.com/im/pictures/159d489e-62ad-44c4-80a0-fab2a8f3b455.jpg?aki_policy=large,Ana Valéria,Yes,Rio De Janeiro,Brazil,-43.190849194463404,-22.984339360067814,7,19,33,118,22.61
10047964,Charming Flat in Downtown Moda,House,Entire home/apt,2,1125,flexible,6,2,6,1,1,527,211,211,1,100,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Pets allowed', 'Pets live on this property', 'Cat(s)', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",https://a0.muscache.com/im/pictures/231120b6-e6e5-4514-93cd-53722ac67de1.jpg?aki_policy=large,Zeynep,Yes,Istanbul,Turkey,29.03133,40.98585,27,57,87,362,63.239999999999995
10051164,Catete's Colonial Big Hause Room B,House,Private room,2,1125,strict_14_with_grace_period,8,1,8,1,4,250,0,40,4,80,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoking allowed', 'Family/kid friendly', 'First aid kit', 'Fire extinguisher', 'Essentials']",https://a0.muscache.com/im/pictures/b2119f25-42e1-4770-8072-20de92e65893.jpg?aki_policy=large,Beatriz,Yes,Rio De Janeiro,Brazil,-43.18015675229857,-22.92638234778768,10,10,21,296,47.5
10057447,Modern Spacious 1 Bedroom Loft,Apartment,Entire home/apt,1,1125,flexible,4,1,2,0,1,50,Not Specified,31,1,0,"['Internet', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Iron', 'Laptop friendly workspace']",https://a0.muscache.com/im/pictures/9fa69ad8-c9be-45dd-966b-b8f59bdccb2b.jpg?aki_policy=large,Konstantin,No,Montreal,Canada,-73.59111,45.51889,0,0,0,0,40.0
